game_episode,end_x,end_y
153363_1,62.150745,12.344083
153363_2,23.637897,48.962193
153363_6,31.600094,63.45226
153363_7,59.146137,6.2182045
153363_8,80.184746,8.148601
153363_9,72.764435,67.20277
153363_10,68.94175,8.382158
153363_12,69.95754,5.291442
153363_13,33.922707,65.13603
153363_15,71.12281,10.38482
153363_16,49.8388,8.2378435
153363_17,70.50522,62.49165
153363_18,96.21458,28.100168
153363_19,32.92567,10.1634
153363_20,82.26444,14.309494
153363_21,66.40322,9.817691
153363_22,71.193375,52.270214
153363_23,57.240303,8.342253
153363_24,65.41243,44.42895
153363_26,57.36709,45.897697
153363_27,48.15206,60.64934
153363_28,70.20115,2.2335234
153363_29,89.704544,42.78864
153363_30,98.83905,40.394787
153363_31,85.57512,34.53275
153363_32,50.3099,14.717137
153363_33,86.14311,56.214195
153363_34,80.35887,54.99743
153363_35,42.271805,31.756784
153363_36,91.46541,29.465221
153363_37,83.60315,5.7838354
153363_38,78.40796,2.7869048
153363_41,59.679543,53.13401
153363_43,77.71412,7.291426
153363_44,86.63429,7.2445745
153363_47,63.199974,3.4729009
153363_48,40.066444,61.362743
153363_49,69.92255,8.965871
153363_50,63.846825,63.704765
153363_51,86.80653,13.784177
153363_52,78.47361,13.309407
153363_53,59.861176,62.498028
153363_54,69.631355,62.770805
153363_56,77.00691,17.80821
153363_57,44.70905,56.360462
153363_58,71.20105,62.35609
153363_59,82.92525,12.411646
153363_60,52.165436,50.966137
153363_61,47.902702,60.53891
153363_62,83.64084,45.415176
153363_64,85.07487,6.5936995
153363_65,93.25891,17.543217
153363_66,24.223133,65.05927
153363_67,86.06639,52.423138
153363_68,76.20234,35.650352
153363_69,36.511646,60.613678
153363_70,87.79584,12.381888
153363_71,84.205,51.240643
153363_72,44.196495,63.690308
153363_73,18.351135,4.673212
153363_74,75.5728,12.732515
153363_75,85.322876,47.515743
153363_76,58.072594,61.125404
153363_77,38.947647,6.6465187
153363_79,68.29154,10.775877
153363_80,40.954845,35.195488
153363_81,60.790215,58.947113
153363_82,90.16033,18.495926
153363_83,28.087854,13.337672
153363_84,56.35502,10.204149
153363_85,88.8901,10.015741
153363_86,77.787346,10.185547
153364_1,54.576244,45.996662
153364_2,43.719063,58.1969
153364_3,37.7107,33.280067
153364_4,51.95349,55.63088
153364_5,36.68571,10.286451
153364_6,59.039936,4.8612876
153364_7,66.93853,3.4660676
153364_8,83.04167,28.041851
153364_9,85.97629,41.375145
153364_10,65.47913,7.8303695
153364_11,81.56742,4.4374666
153364_12,70.65357,9.342689
153364_14,85.108536,45.72534
153364_15,54.574413,12.199848
153364_16,39.494507,43.553158
153364_17,81.22365,20.082485
153364_18,83.77556,3.0713615
153364_19,83.788,44.796898
153364_20,49.162846,44.87545
153364_21,74.6992,66.39291
153364_22,93.684494,9.522616
153364_23,70.32261,7.5278807
153364_24,76.544876,50.434677
153364_25,76.52694,10.922491
153364_26,57.81858,7.5358605
153364_27,42.291634,61.29903
153364_28,86.21438,61.069008
153364_29,36.09855,4.684478
153364_30,43.689793,54.51438
153364_31,85.919136,26.183811
153364_32,65.19257,61.38918
153364_33,36.992985,3.2890098
153364_34,65.70154,5.5812116
153364_36,76.76073,56.443714
153364_37,46.456245,6.3261447
153364_38,86.74958,32.087147
153364_39,68.345604,61.303356
153364_40,65.55385,34.782204
153364_41,57.863335,51.059
153364_42,78.71587,2.6614432
153364_43,55.043224,58.362408
153364_44,79.14905,35.913635
153364_45,67.42694,55.091087
153364_46,87.979256,4.7245636
153364_47,75.728096,9.844702
153364_48,99.34618,34.71963
153364_49,71.13419,24.459965
153364_50,48.54899,6.936461
153364_52,26.559454,3.881583
153364_53,56.715942,4.7241516
153364_54,67.78189,65.743195
153364_55,77.54884,61.593727
153364_56,83.138245,62.807148
153364_57,78.582214,16.245554
153364_58,69.507774,8.937354
153364_59,77.574585,15.564717
153364_61,87.43241,26.902832
153364_62,71.74637,64.33123
153364_63,83.48002,48.532574
153364_65,82.63917,49.757156
153364_66,89.23127,61.793285
153364_67,56.55474,40.311523
153364_68,57.621113,6.7482796
153364_69,77.57904,52.399284
153364_70,23.328209,2.113112
153364_71,85.93776,59.82263
153364_73,56.386955,51.106377
153364_74,94.312004,26.673288
153364_75,76.92768,64.252655
153364_76,83.9449,38.782845
153364_78,82.08421,8.504653
153364_79,52.40495,65.54561
153364_80,64.21303,8.188598
153364_81,81.265305,57.197563
153364_82,88.05257,40.43121
153364_84,66.91538,62.88087
153364_85,77.114944,13.738126
153364_86,64.45651,49.642567
153365_1,35.65787,65.28102
153365_2,80.65131,49.953373
153365_3,21.683262,61.394737
153365_4,64.52879,2.742316
153365_5,42.912533,55.263287
153365_6,74.46557,60.543865
153365_7,64.88025,60.088997
153365_8,71.33117,33.29183
153365_9,54.240654,14.988962
153365_10,32.76054,63.698692
153365_11,44.56657,9.07979
153365_12,21.823195,66.243286
153365_13,43.620422,64.89004
153365_14,63.814598,64.262
153365_15,45.951454,19.9427
153365_16,26.141027,3.703792
153365_17,82.91062,22.982883
153365_20,87.42439,13.342781
153365_21,79.91423,18.176022
153365_23,74.803696,10.814816
153365_24,87.23869,57.989735
153365_25,93.8927,54.771515
153365_26,13.712721,3.7052054
153365_28,85.21096,36.3925
153365_29,74.62534,40.941837
153365_30,74.95039,47.952354
153365_31,91.95061,34.51344
153365_32,62.157013,50.18284
153365_33,41.999847,4.2732778
153365_34,49.427055,64.517136
153365_35,78.282974,7.4787188
153365_36,39.976906,59.55073
153365_37,82.38124,6.056223
153365_38,95.12924,14.05089
153365_39,42.74709,63.852894
153365_40,94.19544,39.278713
153365_41,49.112186,9.678347
153365_42,60.13732,64.70117
153365_43,73.91731,45.833603
153365_44,64.58999,14.608086
153365_45,80.60342,13.081963
153365_46,89.92893,47.945118
153365_47,86.88629,30.222095
153365_48,87.203255,49.25282
153365_49,34.283684,58.010933
153365_50,69.229904,57.924427
153365_51,92.30815,46.232983
153365_53,22.175821,54.143696
153365_54,35.084282,65.62399
153365_55,35.43144,7.652199
153365_56,88.769066,7.1209464
153365_57,94.44426,24.93253
153365_58,65.92079,13.740311
153365_59,91.34632,2.1179404
153365_60,87.05391,2.0734165
153365_61,16.246967,60.74903
153365_62,92.32183,61.43806
153365_64,59.367542,61.038635
153365_65,43.297092,1.3633709
153365_66,71.668076,15.116984
153365_68,88.01215,29.306528
153365_69,24.047724,64.586555
153365_70,71.554794,63.53672
153365_71,13.536893,59.63017
153365_72,90.38953,41.29373
153365_73,94.98604,36.843353
153365_74,73.0733,23.67973
153365_75,34.98196,22.461205
153365_76,53.747536,46.6284
153365_77,90.05533,17.59927
153365_79,81.9277,3.9023964
153365_80,85.923386,29.521442
153365_82,71.07564,3.9865677
153365_83,22.960855,47.99345
153365_84,84.69086,14.137823
153365_85,66.85191,17.551144
153365_86,82.16012,54.760475
153365_89,68.563644,10.779335
153365_90,90.821175,50.483643
153365_91,74.902504,4.169034
153365_92,85.447914,5.201498
153365_93,88.96071,16.619299
153366_1,90.80641,50.91941
153366_3,92.74209,30.271225
153366_4,46.604195,63.2073
153366_5,36.199688,4.114249
153366_6,83.393196,61.13671
153366_7,35.5156,56.476612
153366_8,54.7659,5.1667967
153366_9,41.663033,11.020319
153366_10,72.84299,16.34396
153366_11,80.54099,15.901158
153366_12,70.40672,60.28125
153366_13,49.988976,13.614502
153366_14,88.44307,61.504833
153366_15,90.32045,27.470959
153366_16,49.000946,59.088818
153366_17,19.798054,65.99211
153366_18,72.72081,3.7574878
153366_19,72.69405,10.941121
153366_20,80.389984,55.51711
153366_21,34.04696,55.168434
153366_22,55.719433,63.78808
153366_23,40.092102,16.802408
153366_24,66.17853,59.95503
153366_25,74.996155,64.5202
153366_27,92.34005,10.644715
153366_28,71.9271,61.484882
153366_29,37.933506,40.15974
153366_30,80.339485,6.041888
153366_31,31.486816,51.115536
153366_32,88.36554,5.052597
153366_33,97.81737,34.664425
153366_35,82.688995,60.536827
153366_36,86.04618,52.51499
153366_37,61.675285,4.237941
153366_38,40.307533,5.3928323
153366_39,35.518528,51.39451
153366_40,81.576294,9.011465
153366_41,36.68844,66.407455
153366_42,84.76689,31.972275
153366_43,92.97641,55.03301
153366_44,45.08047,47.031616
153366_46,90.31584,52.91218
153366_47,59.730957,61.305683
153366_48,87.03142,49.85369
153366_49,93.88673,63.380756
153366_50,50.15238,17.56063
153366_51,87.294525,62.326733
153366_52,61.1927,65.81934
153366_53,65.200485,4.1808386
153366_54,92.63586,30.558975
153366_55,71.79406,9.572202
153366_56,93.80331,50.13725
153366_57,78.664536,61.16781
153366_58,75.31445,46.1911
153366_59,69.03093,46.504898
153366_60,90.47862,44.039013
153366_61,69.98763,60.888325
153366_62,84.11121,63.428535
153366_64,84.36119,59.9551
153366_65,69.89992,59.08391
153366_66,89.79273,2.8205447
153366_67,68.42454,53.92497
153366_68,72.472046,3.9512818
153366_69,87.18408,58.778137
153366_71,88.259995,60.894066
153366_72,88.76216,7.950067
153366_73,86.398476,52.111824
153366_74,33.48546,63.85795
153366_75,64.374306,5.020264
153366_76,58.432228,20.140896
153366_77,41.45047,59.332935
153366_78,77.319,30.990204
153366_79,94.00281,54.455017
